id,timestamp,symbol,direction,strategy,entry_price,exit_price,qty,position_size_usdc,pnl_usdc,pnl_pct,duration_seconds,exit_reason,tp_pct,sl_pct,trailing_pct,confidence,regime,fear_greed,btc_change_4h,rsi_entry,atr_pct,volume_ratio,indicators_json
9,2026-03-23T15:02:01.371223,ETHUSDC,SHORT,mean_reversion,2175.68,2189.36,0.2716,591.01428345153,-3.715488,-0.6288,488,STOP_LOSS,0.7,-0.6,0.1,71.01694915254265,HIGH_VOLATILITY,8,4.66,80.51,0,0,"{""rsi"": 80.51, ""bb_upper"": 2169.414165, ""bb_lower"": 2121.243835, ""bb_ma"": 2145.329, ""price"": 2176.96}"
10,2026-03-23T15:31:55.521642,BTCUSDC,SHORT,mean_reversion,71535.75,71340.5,0.00551,394.00952230102,1.075827,0.2729,1804,TIMEOUT,0.7,-0.6,0.1,73.09659999289391,HIGH_VOLATILITY,8,5.31,81.55,0,0,"{""rsi"": 81.55, ""bb_upper"": 71388.089502, ""bb_lower"": 70285.038498, ""bb_ma"": 70836.564, ""price"": 71520.0}"
11,2026-03-23T15:35:26.256063,SOLUSDC,SHORT,mean_reversion,91.37,91.31,6.47,591.01428345153,0.3882,0.0657,1811,TIMEOUT,0.7,-0.6,0.1,65.44554455445694,HIGH_VOLATILITY,8,5.47,77.72,0,0,"{""rsi"": 77.72, ""bb_upper"": 91.301298, ""bb_lower"": 89.572702, ""bb_ma"": 90.437, ""price"": 91.33}"
1,2026-03-23T17:49:32.091578,ETHUSDC,LONG,mean_reversion,2127.85,2140.2,0.2854,607.3835911782598,3.52469,0.5804,1806,TIMEOUT,0.7,-0.6,0.1,72.87977302281624,HIGH_VOLATILITY,8,3.57,18.56,0,0,"{""rsi"": 18.56, ""bb_upper"": 2188.515453, ""bb_lower"": 2128.113547, ""bb_ma"": 2158.3145, ""price"": 2127.9}"
1,2026-03-24T08:58:55.829291,SOLUSDC,SHORT,mean_reversion,91.2,91.79,6.679,609.12150103407,-3.94061,-0.6469,1725,STOP_LOSS,0.7,-0.6,0.1,95,RANGE,11,1.16,94.07,0,0,"{""rsi"": 94.07, ""bb_upper"": 91.176013, ""bb_lower"": 89.934987, ""bb_ma"": 90.5555, ""price"": 91.21}"
2,2026-03-24T08:58:56.567061,BTCUSDC,SHORT,mean_reversion,70914.18,71349.99,0.00859,609.12150103407,-3.743608,-0.6146,1725,STOP_LOSS,0.7,-0.6,0.1,95,RANGE,11,1.16,100,0,0,"{""rsi"": 100, ""bb_upper"": 70911.253551, ""bb_lower"": 70185.758449, ""bb_ma"": 70548.506, ""price"": 70922.01}"
3,2026-03-24T09:29:04.810192,XRPUSDC,SHORT,mean_reversion,1.4315,1.4215,425.5,609.12150103407,4.255,0.6986,1805,TIMEOUT,0.7,-0.6,0.1,88.60082304526637,RANGE,11,1.3,89.3,0,0,"{""rsi"": 89.3, ""bb_upper"": 1.428043, ""bb_lower"": 1.410117, ""bb_ma"": 1.41908, ""price"": 1.4317}"
4,2026-03-24T09:39:33.493983,SOLUSDC,SHORT,mean_reversion,91.79,91.67,6.637,609.12150103407,0.79644,0.1307,1804,TIMEOUT,0.7,-0.6,0.1,88.57142857142918,RANGE,11,0.71,89.29,0,0,"{""rsi"": 89.29, ""bb_upper"": 91.750131, ""bb_lower"": 90.195869, ""bb_ma"": 90.973, ""price"": 91.77}"
5,2026-03-24T21:57:03.259646,ETHUSDC,SHORT,mean_reversion,2151.58,2148.3,0.283,609.12150103407,0.92824,0.1524,1800,TIMEOUT,0.7,-0.6,0.1,60.427026001138984,RANGE,11,-1.83,75.21,0,0,"{""rsi"": 75.21, ""bb_upper"": 2137.3132, ""bb_lower"": 2107.8628, ""bb_ma"": 2122.588, ""price"": 2152.05}"
6,2026-03-24T22:09:48.329864,SOLUSDC,SHORT,mean_reversion,89.97,89.87,6.774,609.12150103407,0.6774,0.1111,1808,TIMEOUT,0.7,-0.6,0.1,60.24875621890561,RANGE,11,-1.81,75.12,0,0,"{""rsi"": 75.12, ""bb_upper"": 89.647147, ""bb_lower"": 88.364853, ""bb_ma"": 89.006, ""price"": 89.92}"
7,2026-03-24T23:45:11.131605,BTCUSDC,SHORT,mean_reversion,70500.69,70266.77,0.00864,609.12150103407,2.021069,0.3318,1806,TIMEOUT,0.7,-0.6,0.1,62.550916442337154,RANGE,11,-1.1,76.28,0,0,"{""rsi"": 76.28, ""bb_upper"": 70456.801117, ""bb_lower"": 69873.491883, ""bb_ma"": 70165.1465, ""price"": 70500.69}"
8,2026-03-25T01:05:10.358583,BTCUSDC,SHORT,mean_reversion,70726.83,70612.37,0.00861,609.12150103407,0.985501,0.1618,1807,TIMEOUT,0.7,-0.6,0.1,92.1419429156582,RANGE,11,-0.74,91.07,0,0,"{""rsi"": 91.07, ""bb_upper"": 70690.5193, ""bb_lower"": 70151.6727, ""bb_ma"": 70421.096, ""price"": 70726.82}"
9,2026-03-25T01:05:11.096936,SOLUSDC,SHORT,mean_reversion,90.99,90.89,6.696,609.12150103407,0.6696,0.1099,1806,TIMEOUT,0.7,-0.6,0.1,80.29702970296734,RANGE,11,-0.74,85.15,0,0,"{""rsi"": 85.15, ""bb_upper"": 90.89728, ""bb_lower"": 90.08172, ""bb_ma"": 90.4895, ""price"": 90.97}"
10,2026-03-25T01:41:53.373925,SOLUSDC,SHORT,mean_reversion,91.2,91.43,6.679,609.12150103407,-1.53617,-0.2522,1813,TIMEOUT,0.7,-0.6,0.1,68.70967741935311,RANGE,14,-0.84,79.35,0,0,"{""rsi"": 79.35, ""bb_upper"": 91.196277, ""bb_lower"": 90.158723, ""bb_ma"": 90.6775, ""price"": 91.2}"
11,2026-03-25T05:36:56.969640,BTCUSDC,SHORT,mean_reversion,70810.0,70734.64,0.0086,609.12150103407,0.648096,0.1064,1805,TIMEOUT,0.7,-0.6,0.1,60.15021993526415,RANGE,14,1.21,75.08,0,0,"{""rsi"": 75.08, ""bb_upper"": 70785.755267, ""bb_lower"": 70442.541733, ""bb_ma"": 70614.1485, ""price"": 70809.77}"
12,2026-03-25T05:58:42.252720,ETHUSDC,SHORT,mean_reversion,2163.5,2166.14,0.2815,609.12150103407,-0.74316,-0.122,1807,TIMEOUT,0.7,-0.6,0.1,78.75323331608905,RANGE,14,1.32,84.38,0,0,"{""rsi"": 84.38, ""bb_upper"": 2163.31173, ""bb_lower"": 2150.14527, ""bb_ma"": 2156.7285, ""price"": 2163.49}"
13,2026-03-25T06:36:19.526290,SOLUSDC,SHORT,mean_reversion,92.54,92.53,6.584,609.12150103407,0.06584,0.0108,1801,TIMEOUT,0.7,-0.6,0.1,64.32098765432056,RANGE,14,1.58,77.16,0,0,"{""rsi"": 77.16, ""bb_upper"": 92.181367, ""bb_lower"": 91.170633, ""bb_ma"": 91.676, ""price"": 92.53}"
14,2026-03-25T06:36:20.268115,BTCUSDC,SHORT,mean_reversion,71098.72,71137.88,0.00857,609.12150103407,-0.335601,-0.0551,1801,TIMEOUT,0.7,-0.6,0.1,62.182342414000345,RANGE,14,1.58,76.09,0,0,"{""rsi"": 76.09, ""bb_upper"": 70972.329789, ""bb_lower"": 70616.380211, ""bb_ma"": 70794.355, ""price"": 71116.47}"
15,2026-03-25T11:30:22.003902,ETHUSDC,SHORT,mean_reversion,2187.08,2184.3,0.2785,609.12150103407,0.77423,0.1271,1811,TIMEOUT,0.7,-0.6,0.1,61.301832208291955,RANGE,14,2.74,75.65,0,0,"{""rsi"": 75.65, ""bb_upper"": 2185.952796, ""bb_lower"": 2175.871204, ""bb_ma"": 2180.912, ""price"": 2186.87}"
16,2026-03-25T12:17:13.164072,XRPUSDC,SHORT,mean_reversion,1.4257,1.4351,427.2,609.12150103407,-4.01568,-0.6593,503,STOP_LOSS,0.7,-0.6,0.1,64.48275862069079,HIGH_VOLATILITY,14,3.13,77.24,0,0,"{""rsi"": 77.24, ""bb_upper"": 1.424547, ""bb_lower"": 1.414903, ""bb_ma"": 1.419725, ""price"": 1.4257}"
17,2026-03-25T12:25:06.929888,BTCUSDC,SHORT,mean_reversion,71575.01,71693.75,0.00851,609.12150103407,-1.010477,-0.1659,1801,TIMEOUT,0.7,-0.6,0.1,76.37606593301405,HIGH_VOLATILITY,14,3.17,83.19,0,0,"{""rsi"": 83.19, ""bb_upper"": 71541.090664, ""bb_lower"": 71173.824336, ""bb_ma"": 71357.4575, ""price"": 71576.75}"
18,2026-03-25T12:56:25.273558,SOLUSDC,SHORT,mean_reversion,93.13,92.92,6.54,609.12150103407,1.3734,0.2255,1801,TIMEOUT,0.7,-0.6,0.1,63.71900826446421,HIGH_VOLATILITY,14,3.4,76.86,0,0,"{""rsi"": 76.86, ""bb_upper"": 92.852468, ""bb_lower"": 92.317532, ""bb_ma"": 92.585, ""price"": 93.17}"
19,2026-03-25T12:56:26.006286,BTCUSDC,SHORT,mean_reversion,71772.86,71666.32,0.00849,609.12150103407,0.904525,0.1484,1801,TIMEOUT,0.7,-0.6,0.1,60.418585182084996,HIGH_VOLATILITY,14,3.4,75.21,0,0,"{""rsi"": 75.21, ""bb_upper"": 71692.626109, ""bb_lower"": 71250.733891, ""bb_ma"": 71471.68, ""price"": 71772.85}"
20,2026-03-25T15:01:10.438068,SOLUSDC,SHORT,mean_reversion,93.3,92.54,6.529,609.12150103407,4.96204,0.8146,1803,TIMEOUT,0.7,-0.6,0.1,65.39568345323596,RANGE,14,1.47,77.7,0,0,"{""rsi"": 77.7, ""bb_upper"": 93.276962, ""bb_lower"": 92.546038, ""bb_ma"": 92.9115, ""price"": 93.31}"
